# SwiftFloris — Zipf-scale frequency table (French)
# ROADMAP §7 Next-3.2 / docs/archive/SWIFTKEY_PARITY_ROADMAP_2026-05-17 §B1.
# Generated from rspeer/wordfreq 3.1.1 top_n_list + zipf_frequency output.
# Zipf values generated from rspeer/wordfreq 3.1.1 (Apache-2.0); one word<TAB>zipf line per entry.
# Seed top-1000 table; full corpus-sized tables belong in dictionary-pack addons.
plutôt	5.35
the	5.35
arrive	5.34
avaient	5.34
chef	5.34
europe	5.34
fort	5.34
i	5.34
public	5.34
tard	5.34
ayant	5.33
main	5.33
terre	5.33
titre	5.33
matin	5.32
mise	5.32
plan	5.32
saison	5.32
sait	5.32
type	5.32
afin	5.31
ah	5.31
aide	5.31
belle	5.31
choix	5.31
française	5.31
long	5.31
minutes	5.31
retour	5.31
situation	5.31
sommes	5.31
vite	5.31
yeux	5.31
amour	5.30
base	5.30
h	5.30
journée	5.30
nord	5.30
devrait	5.29
donné	5.29
e	5.29
etc	5.29
grâce	5.29
moyen	5.29
ordre	5.29
prend	5.29
école	5.29
étant	5.29
but	5.28
cinq	5.28
manière	5.28
mars	5.28
pierre	5.28
québec	5.28
semble	5.28
sujet	5.28
truc	5.28
agit	5.27
enfant	5.27
ministre	5.27
nouvelles	5.27
parfois	5.27
quelle	5.27
rue	5.27
sud	5.27
super	5.27
sûr	5.27
unis	5.27
vidéo	5.27
amis	5.26
art	5.26
beau	5.26
compris	5.26
gauche	5.26
livre	5.26
musique	5.26
région	5.26
entreprise	5.25
jeunes	5.25
longtemps	5.25
match	5.25
permet	5.25
simple	5.25
voilà	5.25
voit	5.25
chambre	5.24
deuxième	5.24
importe	5.24
in	5.24
juin	5.24
lorsque	5.24
mai	5.24
peur	5.24
plein	5.24
police	5.24
septembre	5.24
sécurité	5.24
série	5.24
ancien	5.23
anglais	5.23
certaines	5.23
grands	5.23
important	5.23
jouer	5.23
membres	5.23
merde	5.23
parmi	5.23
peine	5.23
presque	5.23
services	5.23
tellement	5.23
époque	5.23
allez	5.22
doute	5.22
force	5.22
lire	5.22
marché	5.22
mot	5.22
points	5.22
recherche	5.22
santé	5.22
seront	5.22
train	5.22
voix	5.22
écrit	5.22
affaires	5.21
autour	5.21
avis	5.21
cependant	5.21
développement	5.21
faites	5.21
hier	5.21
juillet	5.21
millions	5.21
nationale	5.21
nombreux	5.21
parents	5.21
propre	5.21
rendre	5.21
vivre	5.21
droite	5.20
environ	5.20
fond	5.20
mec	5.20
mesure	5.20
ouais	5.20
pourtant	5.20
trouvé	5.20
abord	5.19
affaire	5.19
envie	5.19
gars	5.19
laquelle	5.19
nouveaux	5.19
octobre	5.19
pouvez	5.19
siècle	5.19
sortir	5.19
terme	5.19
viens	5.19
voiture	5.19
ait	5.18
avril	5.18
droits	5.18
françois	5.18
frère	5.18
janvier	5.18
jeux	5.18
population	5.18
questions	5.18
roi	5.18
venir	5.18
action	5.17
club	5.17
culture	5.17
cœur	5.17
difficile	5.17
existe	5.17
laisse	5.17
malgré	5.17
milieu	5.17
of	5.17
produit	5.17
programme	5.17
propos	5.17
route	5.17
états	5.17
derrière	5.16
direction	5.16
doivent	5.16
emploi	5.16
feu	5.16
marche	5.16
mots	5.16
mêmes	5.16
période	5.16
tel	5.16
âge	5.16
armée	5.15
bois	5.15
chance	5.15
confiance	5.15
croire	5.15
