# SwiftFloris — Zipf-scale frequency table (German)
# ROADMAP §7 Next-3.2 / docs/archive/SWIFTKEY_PARITY_ROADMAP_2026-05-17 §B1.
# Generated from rspeer/wordfreq 3.1.1 top_n_list + zipf_frequency output.
# Zipf values generated from rspeer/wordfreq 3.1.1 (Apache-2.0); one word<TAB>zipf line per entry.
# Seed top-1000 table; full corpus-sized tables belong in dictionary-pack addons.
polizei	5.39
ausserdem	5.38
beide	5.38
findet	5.38
ganzen	5.38
leider	5.38
musste	5.38
online	5.38
stellen	5.38
tage	5.38
unternehmen	5.38
woche	5.38
würden	5.38
besten	5.37
bleiben	5.37
daher	5.37
grund	5.37
kaum	5.37
namen	5.37
problem	5.37
daran	5.36
halt	5.36
nacht	5.36
neu	5.36
stand	5.36
stunden	5.36
thema	5.36
beispiel	5.35
genug	5.35
allein	5.34
dessen	5.34
direkt	5.34
echt	5.34
halten	5.34
kleinen	5.34
schule	5.34
solche	5.34
zeigt	5.34
überhaupt	5.34
anders	5.33
essen	5.33
lang	5.33
usa	5.33
abend	5.32
dank	5.32
ebenfalls	5.32
eher	5.32
h	5.32
hinter	5.32
mag	5.32
musik	5.32
münchen	5.32
pro	5.32
wasser	5.32
alten	5.31
bald	5.31
erhalten	5.31
junge	5.31
lieber	5.31
nachdem	5.31
ort	5.31
sofort	5.31
zweiten	5.31
aller	5.30
auto	5.30
bringen	5.30
danach	5.30
deutlich	5.30
dr	5.30
finde	5.30
hand	5.30
jede	5.30
kopf	5.30
männer	5.30
nächsten	5.30
unserer	5.30
us	5.30
damals	5.29
endlich	5.29
eu	5.29
fünf	5.29
gefunden	5.29
gilt	5.29
person	5.29
schwer	5.29
wichtig	5.29
zeigen	5.29
egal	5.28
gesellschaft	5.28
hoch	5.28
letzte	5.28
r	5.28
stark	5.28
alter	5.27
anfang	5.27
gegenüber	5.27
kind	5.27
oben	5.27
rund	5.27
spd	5.27
strasse	5.27
bekannt	5.26
bisher	5.26
eltern	5.26
europa	5.26
gott	5.26
hätten	5.26
los	5.26
mutter	5.26
wochen	5.26
augen	5.25
beste	5.25
braucht	5.25
denke	5.25
gruppe	5.25
her	5.25
is	5.25
meisten	5.25
millionen	5.25
schreiben	5.25
treffen	5.25
trotzdem	5.25
artikel	5.24
bestimmt	5.24
deutsch	5.24
folge	5.24
glück	5.24
herr	5.24
hilfe	5.24
leicht	5.24
mehrere	5.24
niemand	5.24
politik	5.24
sache	5.24
scheint	5.24
zunächst	5.24
alte	5.23
bayern	5.23
bisschen	5.23
denken	5.23
fand	5.23
film	5.23
internet	5.23
laut	5.23
lesen	5.23
oh	5.23
personen	5.23
regierung	5.23
richtung	5.23
